"","ID","CommunityName","BeachName","BeachCountrycode","BeachRegionalSea","BeachLength_m","BeachLocation","BeachType","EventType","EventYear","EventMonth","EventDay","G1","G3","G4","G5","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G40","G41","G42","G43","G44","G45","G46","G47","G49","G50","G52","G53","G54","G56","G57","G58","G59","G60","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G76","G77","G79","G80","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G95","G96","G97","G98","G99","G100","G101","G102","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G137","G138","G139","G140","G141","G142","G143","G144","G145","G147","G148","G150","G151","G152","G153","G154","G155","G156","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G171","G172","G174","G175","G176","G177","G178","G179","G180","G181","G182","G184","G186","G187","G188","G189","G190","G191","G193","G194","G195","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G210","G211","G213","geometry"
"140",140,"Legambiente Onlus","Lido di Macchia - Porto degli Argonauti, Pisticci (MT)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","25",1,8,1,NA,3,15,4,2,2,5,2,NA,2,3,1,2,NA,12,2,3,5,NA,NA,NA,NA,NA,2,NA,2,14,1,3,NA,6,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,2,NA,1,1,4,12,2,NA,NA,2,NA,2,NA,NA,25,8,20,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,1,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,4,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(16.8146300002039, 40.3319999998712)
"141",141,"Surfrider Foundation Europe","Finale Ligure harbour beach","IT","Mediterranean Sea",98,NA,NA,"Cleanup","2018","06","08",NA,40,NA,NA,36,51,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,17,146,NA,NA,47,21,15,26,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA,NA,30,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,14,NA,NA,NA,13,NA,NA,NA,NA,3,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,25,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,c(8.36983070404324, 44.176532256043)
"142",142,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Quagliodromo","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","23",11,14,14,14,11,11,4,11,4,4,NA,NA,NA,2,6,2,NA,11,11,11,11,6,1,7,NA,NA,11,11,1,11,11,11,1,1,1,1,NA,NA,6,NA,NA,6,2,2,2,2,2,2,2,1,2,1,NA,NA,NA,2,NA,1,1,1,6,NA,6,1,NA,NA,6,6,17,17,1,6,6,6,6,6,2,6,2,NA,53,NA,NA,NA,NA,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,2,5,5,5,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,9,9,9,9,NA,NA,c(10.58904, 42.95419)
"143",143,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Quagliodromo","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","27",11,14,14,14,11,11,4,11,4,4,NA,NA,NA,2,6,2,NA,11,11,11,11,6,1,7,NA,NA,11,11,1,11,11,11,1,1,1,1,NA,NA,6,NA,NA,6,2,2,2,2,2,2,2,1,2,1,NA,NA,NA,2,NA,1,1,1,6,NA,6,1,NA,NA,6,6,17,17,1,6,6,6,6,6,2,6,2,NA,53,NA,NA,NA,NA,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,2,5,5,5,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,9,9,9,9,NA,NA,c(10.58904, 42.95419)
"144",144,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Quagliodromo","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","03","14",11,14,14,14,11,11,4,11,4,4,NA,NA,NA,2,6,2,NA,11,11,11,11,6,1,7,NA,NA,11,11,1,11,11,11,1,1,1,1,NA,NA,6,NA,NA,6,2,2,2,2,2,2,2,1,2,1,NA,NA,NA,2,NA,1,1,1,6,NA,6,1,NA,NA,6,6,17,17,1,6,6,6,6,6,2,6,2,NA,53,NA,NA,NA,NA,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,2,5,5,5,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,9,9,9,9,NA,NA,c(10.58904, 42.95419)
"145",145,"Legambiente Onlus","Spiaggia di San Vito, Polignano a Mare (BA)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2014","05","16",NA,9,7,NA,5,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,9,13,NA,NA,NA,NA,NA,NA,7,NA,5,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(17.1952200001948, 41.0135499997367)
"146",146,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Vindicio (Formia)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","11","20",17,18,18,18,17,17,3,17,3,3,NA,NA,NA,NA,23,NA,NA,17,17,17,17,23,3,63,4,NA,17,17,1,17,17,17,3,3,1,1,3,3,23,3,3,23,2,2,2,2,2,2,2,NA,2,1,1,1,1,NA,2,3,3,3,23,NA,23,3,NA,NA,23,23,56,56,1,23,23,23,23,23,NA,23,2,2,137,2,4,2,NA,2,NA,NA,23,1,1,NA,NA,NA,NA,2,NA,1,3,1,1,1,1,1,15,1,2,15,9,2,1,1,3,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,NA,2,45,NA,3,3,3,3,NA,NA,c(13.58848, 41.24871)
"147",147,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Vindicio (Formia)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2018","04","18",17,18,18,18,17,17,3,17,3,3,NA,NA,NA,NA,23,NA,NA,17,17,17,17,23,3,63,4,NA,17,17,1,17,17,17,3,3,1,1,3,3,23,3,3,23,2,2,2,2,2,2,2,NA,2,1,1,1,1,NA,2,3,3,3,23,NA,23,3,NA,NA,23,23,56,56,1,23,23,23,23,23,NA,23,2,2,137,2,4,2,NA,2,NA,NA,23,1,1,NA,NA,NA,NA,2,NA,1,3,1,1,1,1,1,15,1,2,15,9,2,1,1,3,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,NA,2,45,NA,3,3,3,3,NA,NA,c(13.58848, 41.24871)
"148",148,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Vindicio (Formia)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","02","21",17,18,18,18,17,17,3,17,3,3,NA,NA,NA,NA,23,NA,NA,17,17,17,17,23,3,63,4,NA,17,17,1,17,17,17,3,3,1,1,3,3,23,3,3,23,2,2,2,2,2,2,2,NA,2,1,1,1,1,NA,2,3,3,3,23,NA,23,3,NA,NA,23,23,56,56,1,23,23,23,23,23,NA,23,2,2,137,2,4,2,NA,2,NA,NA,23,1,1,NA,NA,NA,NA,2,NA,1,3,1,1,1,1,1,15,1,2,15,9,2,1,1,3,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,NA,2,45,NA,3,3,3,3,NA,NA,c(13.58848, 41.24871)
"149",149,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Vindicio (Formia)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2018","10","17",17,18,18,18,17,17,3,17,3,3,NA,NA,NA,NA,23,NA,NA,17,17,17,17,23,3,63,4,NA,17,17,1,17,17,17,3,3,1,1,3,3,23,3,3,23,2,2,2,2,2,2,2,NA,2,1,1,1,1,NA,2,3,3,3,23,NA,23,3,NA,NA,23,23,56,56,1,23,23,23,23,23,NA,23,2,2,137,2,4,2,NA,2,NA,NA,23,1,1,NA,NA,NA,NA,2,NA,1,3,1,1,1,1,1,15,1,2,15,9,2,1,1,3,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,NA,2,45,NA,3,3,3,3,NA,NA,c(13.58848, 41.24871)
"150",150,"Legambiente Onlus","Spiaggia presso il Lungomare Garibaldi, Castellammare di Stabia (NA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","23",NA,1,NA,NA,4,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,12,5,6,3,2,NA,68,NA,4,6,NA,1,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,10,NA,NA,2,NA,NA,NA,NA,3,4,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA,2,NA,4,NA,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,4,NA,NA,NA,NA,3,NA,3,NA,NA,NA,4,2,2,NA,NA,4,6,NA,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,c(14.4817600000863, 40.7042599996747)
"151",151,"CpjJwWHV","Strunjan","IT","Mediterranean Sea",728,"Urban","Pebbels","Cleanup","2019","01","28",NA,6,3,NA,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,NA,NA,4,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,4,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,5,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,c(13.7326170494158, 45.6090262492072)
"152",152,"Surfrider Foundation Europe","3-5 Viale Colapesce, 90149 Palermo, Italie","IT","Mediterranean Sea",89,NA,NA,"Cleanup","2015","03","22",NA,5,41,NA,34,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,4,200,NA,NA,41,9,7,29,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,27,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,45,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,c(13.3382000000104, 38.196499999918)
"153",153,"Legambiente Onlus","Spiaggia a Marina di Stabia, Castellammare di Stabia (NA)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2016","05","14",10,70,30,NA,65,85,120,NA,NA,30,NA,20,5,15,20,7,3,300,NA,NA,NA,NA,20,NA,12,NA,25,NA,NA,40,NA,NA,6,15,NA,NA,4,15,NA,8,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,40,15,7,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,4,12,70,NA,NA,NA,20,NA,NA,NA,NA,NA,3,15,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(14.4759100002762, 40.7171299997911)
"154",154,"Surfrider Foundation Europe","Marina di Curinga, 88022 Curinga, Italie","IT","Mediterranean Sea",88,NA,NA,"Cleanup","2015","03","21",NA,NA,15,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,2,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,50,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,8,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,c(16.2210000003801, 38.8385999997037)
"155",155,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Vibo Marina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","02","02",28,10,10,10,28,28,2,28,2,2,NA,NA,NA,NA,15,NA,NA,28,28,28,28,15,15,NA,NA,1,28,28,NA,28,28,28,24,24,1,1,NA,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,1,1,NA,NA,24,24,24,15,1,15,24,NA,NA,15,15,531,531,NA,15,15,15,15,15,NA,15,NA,NA,NA,NA,NA,NA,NA,1,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,4,NA,NA,4,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(16.13743, 38.71876)
"156",156,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Vibo Marina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","11","05",28,10,10,10,28,28,2,28,2,2,NA,NA,NA,NA,15,NA,NA,28,28,28,28,15,15,NA,NA,1,28,28,NA,28,28,28,24,24,1,1,NA,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,1,1,NA,NA,24,24,24,15,1,15,24,NA,NA,15,15,531,531,NA,15,15,15,15,15,NA,15,NA,NA,NA,NA,NA,NA,NA,1,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,4,NA,NA,4,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(16.13743, 38.71876)
"157",157,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Vibo Marina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","30",28,10,10,10,28,28,2,28,2,2,NA,NA,NA,NA,15,NA,NA,28,28,28,28,15,15,NA,NA,1,28,28,NA,28,28,28,24,24,1,1,NA,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,1,1,NA,NA,24,24,24,15,1,15,24,NA,NA,15,15,531,531,NA,15,15,15,15,15,NA,15,NA,NA,NA,NA,NA,NA,NA,1,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,4,NA,NA,4,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(16.13743, 38.71876)
"158",158,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Vibo Marina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","05",28,10,10,10,28,28,2,28,2,2,NA,NA,NA,NA,15,NA,NA,28,28,28,28,15,15,NA,NA,1,28,28,NA,28,28,28,24,24,1,1,NA,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,1,1,NA,NA,24,24,24,15,1,15,24,NA,NA,15,15,531,531,NA,15,15,15,15,15,NA,15,NA,NA,NA,NA,NA,NA,NA,1,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,4,NA,NA,4,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(16.13743, 38.71876)
"159",159,"Legambiente Onlus","Spiaggia di Marechiaro, Anzio (RM)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2015","04","25",NA,5,24,NA,7,18,15,NA,NA,16,NA,NA,NA,NA,NA,2,1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,9,NA,NA,5,NA,NA,NA,10,NA,5,5,3,NA,1,12,NA,1,NA,NA,NA,NA,5,NA,NA,NA,4,NA,5,91,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,5,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(12.6080480003849, 41.4671950002799)
"160",160,"Legambiente Onlus","Spiaggia dellArenella, Siracusa (SR)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","15",NA,9,4,1,18,14,NA,8,3,2,6,1,NA,NA,1,NA,NA,68,2,2,3,NA,1,29,NA,1,11,NA,3,11,1,17,NA,NA,NA,NA,NA,5,NA,10,NA,NA,NA,15,NA,9,NA,3,NA,5,NA,NA,NA,NA,NA,2,NA,1,1,NA,9,1,NA,2,NA,NA,106,14,19,2,NA,NA,NA,NA,NA,2,3,NA,NA,NA,6,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,2,NA,NA,3,5,NA,NA,NA,4,15,NA,NA,48,1,1,5,1,3,NA,NA,NA,NA,NA,1,1,NA,6,NA,19,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,6,NA,NA,NA,3,NA,NA,NA,3,NA,2,NA,c(15.264170000162, 36.9952500000962)
"161",161,"CpjJwWHV","Lido Sirene","IT","Mediterranean Sea",309,"Near river mouth","Sandy","Cleanup","2017","03","26",NA,120,80,NA,200,250,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,200,NA,NA,50,NA,NA,NA,100,400,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,400,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,900,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,c(16.2205587164715, 38.8380117481369)
"162",162,"Legambiente Onlus","Spiaggia di Marina di Vecchiano, Pisa (PI)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2015","04","26",NA,43,26,NA,57,43,10,55,NA,16,4,NA,NA,1,NA,1,NA,333,NA,NA,NA,NA,14,155,11,NA,16,NA,8,20,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,88,NA,NA,NA,NA,NA,NA,1,NA,NA,2,14,NA,33,1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,24,2,NA,NA,NA,NA,NA,NA,NA,1,NA,10,6,NA,NA,NA,NA,NA,1,24,2,NA,NA,2,17,NA,2,NA,NA,59,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,13,2,39,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,18,NA,18,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,c(10.269330000107, 43.7817200000828)
"163",163,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Localit? Rio Vivo a sud di Termoli","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","12","04",4,8,8,8,4,4,2,4,2,2,NA,NA,NA,NA,1,NA,2,4,4,4,4,1,1,1,NA,1,4,4,NA,4,4,4,NA,NA,2,2,8,8,1,8,8,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,7,7,NA,1,1,1,1,1,NA,1,2,1,10,1,NA,1,1,2,NA,1,1,NA,NA,2,1,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(15.00108, 41.99509)
"164",164,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Localit? Rio Vivo a sud di Termoli","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","12","07",4,8,8,8,4,4,2,4,2,2,NA,NA,NA,NA,1,NA,2,4,4,4,4,1,1,1,NA,1,4,4,NA,4,4,4,NA,NA,2,2,8,8,1,8,8,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,7,7,NA,1,1,1,1,1,NA,1,2,1,10,1,NA,1,1,2,NA,1,1,NA,NA,2,1,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(15.00108, 41.99509)
"165",165,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Localit? Rio Vivo a sud di Termoli","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","04","13",4,8,8,8,4,4,2,4,2,2,NA,NA,NA,NA,1,NA,2,4,4,4,4,1,1,1,NA,1,4,4,NA,4,4,4,NA,NA,2,2,8,8,1,8,8,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,7,7,NA,1,1,1,1,1,NA,1,2,1,10,1,NA,1,1,2,NA,1,1,NA,NA,2,1,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(15.00108, 41.99509)
